Coordinates,Province,Address
"50.9833, -119.7333",BC,"Adams Lake Provincial Park, Adams Lake, BC V0E 1M2, Canada"
"49.0548, -114.1337",BC,"Akamina-Kishinena Provincial Park, Kootenay Boundary E, BC V0B 1H0, Canada"
"49.7744, -121.4222",BC,"Alexandra Bridge Provincial Park, Fraser Valley, BC V0K 1C0, Canada"
"54.0167, -122.0667",BC,"Aleza Lake Ecological Reserve, Fraser-Fort George G, BC V0J 3A3, Canada"
"49.7683, -123.1336",BC,"Alice Lake Provincial Park, Squamish, BC V0N 1T0, Canada"
"51.1314, -127.4342",BC,"Allison Harbour Marine Provincial Park, Mount Waddington A, BC V0N 3K0, Canada"
"49.7094, -120.7969",BC,"Allison Lake Provincial Park, Princeton, BC V0X 1W0, Canada"
"53.7433, -128.9333",BC,"Alty Conservancy, Central Coast A, BC V0T 1A0, Canada"
"50.4000, -126.8500",BC,"Ambrose Lake Ecological Reserve, qathet Regional District, BC, Canada"
"49.0125, -119.3194",BC,"Anarchist Protected Area, Okanagan-Similkameen, BC V0H 1T0, Canada"
"53.8886, -121.8375",BC,"Ancient Forest Provincial Park and Protected Area, Fraser-Fort George H, BC V0K 2Z0, Canada"
"49.6211, -124.0250",BC,"Anderson Bay Provincial Park, Powell River, BC V8A 0G3, Canada"
"55.5333, -127.6833",BC,"Anderson Flats Provincial Park, Kitimat-Stikine E, BC V0J 1Y0, Canada"
"49.6833, -126.6000",BC,"Anne Vallee Ecological Reserve, Mount Waddington A, BC V0N 3J0, Canada"
"50.9833, -119.0828",BC,"Anstey-Hunakwa Provincial Park, Columbia-Shuswap B, BC V0E 2V0, Canada"
"49.3833, -123.3167",BC,"Apodaca Provincial Park, Bowen Island, BC V0N 1G2, Canada"
"49.2439, -124.7939",BC,"Arbutus Grove Provincial Park, Parksville, BC V9P 1X7, Canada"
"56.1600, -125.6730",BC,"Arctic Pacific Lakes Provincial Park, Fraser-Fort George E, BC V0J 2Z0, Canada"
"50.4183, -117.9117",BC,"Arrow Lakes Provincial Park, Nakusp, BC V0G 1R0, Canada"
"50.874645, -121.275997",BC,"Arrowstone Provincial Park, Thompson-Nicola P, BC V0K 1H0, Canada"
"49.977, -126.967",BC,"Artlish Caves Provincial Park, Mount Waddington B, BC V0N 2N0, Canada"
"59.5661, -133.7201",BC,"Atlin Provincial Park, Stikine Region, BC V0W 1A0, Canada"
"58.175, -129.145",BC,"Atna River Provincial Park, Stikine Region, BC V0J 1E0, Canada"
"54.7667, -126.75",BC,"Babine Lake Marine Provincial Park, Bulkley-Nechako, BC V0J 1E0, Canada"
"55.050, -126.833",BC,"Babine Mountains Provincial Park, Smithers, BC V0J 2N0, Canada"
"55.283, -127.417",BC,"Babine River Corridor Provincial Park, Hazelton, BC V0J 1Y0, Canada"
"48.829, -123.283",BC,"Baeria Rocks Ecological Reserve, Central Coast, BC V0N 1A0, Canada"
"48.900, -123.583",BC,"Ballingall Islets Ecological Reserve, North Cowichan, BC V0R 2C2, Canada"
"48.589, -123.515",BC,"Bamberton Provincial Park, Mill Bay, BC V0R 2P4, Canada"
"50.667, -121.933",BC,"Banana Island Provincial Park, Thompson-Nicola, BC V0E 1M0, Canada"
"54.683, -129.667",BC,"Banks Nii _uutiksm Conservancy, Mount Waddington, BC V0T 1Z0, Canada"
"49.150, -123.600",BC,"Baynes Island Ecological Reserve, Bulkley-Nechako, BC V0J 1E0, Canada"
"49.888, -119.533",BC,"Bear Creek Provincial Park, Kelowna, BC V1Z 3W6, Canada"
"56.050, -129.950",BC,"Bear Glacier Provincial Park, Kitimat-Stikine, BC V0J 2J0, Canada"
"53.100, -128.200",BC,"Bear Island Conservancy, Mount Waddington, BC V0P 1A0, Canada"
"55.650, -121.567",BC,"Bearhole Lake Provincial Park and Protected Area, Peace River, BC V0C 1V0, Canada"
"56.283, -120.800",BC,"Beatton Provincial Park, Fort St John, BC V1J 4M6, Canada"
"56.350, -120.800",BC,"Beatton River Provincial Park, Peace River, BC V0C 1V0, Canada"
"54.016, -125.667",BC,"Beaumont Provincial Park, Fraser Lake, BC V0J 1S0, Canada"
"50.520, -127.367",BC,"Beaver Creek Provincial Park, Trail, BC V1R 4X2, Canada"
"48.800, -123.417",BC,"Beaver Point Provincial Park, Salt Spring Island, BC V8K 1X4, Canada"
"49.600, -116.533",BC,"Beaver Valley Provincial Park, Okanagan-Similkameen, BC V0X 1W0, Canada"
"52.800, -121.283",BC,"Bechers Prairie Provincial Park, Bulkley-Nechako, BC V0J 1E0, Canada"
"49.850, -119.433",BC,"Bedard Aspen Provincial Park, Cariboo, BC V0L 1C0, Canada"
"53.950, -123.217",BC,"Bednesti Lake Ecological Reserve, Fraser-Fort George, BC V0J 3A3, Canada"
"52.383, -126.750",BC,"Bella Coola Estuary Conservancy, Central Coast, BC V0T 1C0, Canada"
"48.872, -123.322",BC,"Bellhouse Provincial Park, Galiano Island, BC V0N 1P0, Canada"
"52.900, -131.383",BC,"Beresford Island Ecological Reserve, Mount Waddington, BC V0N 2N0, Canada"
"51.333, -121.883",BC,"Big Bar Lake Provincial Park, Clinton, BC V0K 1K0, Canada"
"55.600, -128.867",BC,"Big Basin Provincial Park, Thompson-Nicola, BC V0K 1K0, Canada"
"50.200, -127.683",BC,"Big Bunsby Marine Provincial Park, Mount Waddington, BC V0N 2P0, Canada"
"51.083, -123.317",BC,"Big Creek Ecological Reserve, Cariboo, BC V0L 1C0, Canada"
"51.116, -123.283",BC,"Big Creek Provincial Park, Thompson-Nicola, BC V0K 1K0, Canada"
"49.737, -118.926",BC,"Big White Mountain Ecological Reserve, Kootenay Boundary, BC V0H 1A0, Canada"
"54.617, -122.583",BC,"Bijoux Falls Provincial Park, Fraser-Fort George H, BC V0J 2N0, Canada"
