park_id,Park_name,Year_established,Coordinates
1,Adams Lake Provincial Park,1996,"50.9833, -119.7333"
2,Akamina-Kishinena Provincial Park,1995,"49.0548, -114.1337"
3,Alexandra Bridge Provincial Park,1984,"49.7744, -121.4222"
4,Aleza Lake Ecological Reserve,1978,"54.0167, -122.0667"
5,Alice Lake Provincial Park,1956,"49.7683, -123.1336"
6,Allison Harbour Marine Provincial Park,2008,"51.1314, -127.4342"
7,Allison Lake Provincial Park,1960,"49.7094, -120.7969"
8,Alty Conservancy,2007,"53.7433, -128.9333"
9,Ambrose Lake Ecological Reserve,1971,"50.4000, -126.8500"
10,Anarchist Protected Area ,2001,"49.0125, -119.3194"
11,Ancient Forest Provincial Park and Protected Area ,2016,"53.8886, -121.8375"
12,Anderson Bay Provincial Park,2000,"49.6211, -124.0250"
13,Anderson Flats Provincial Park,2007,"55.5333, -127.6833"
14,Anne Vallee Ecological Reserve,1971,"49.6833, -126.6000"
15,Anstey-Hunakwa Provincial Park,2001,"50.9833, -119.0828"
16,Apodaca Provincial Park,1954,"49.3833, -123.3167"
17,Arbutus Grove Provincial ParkÊ ,1966,"49.2439, -124.7939"
18,Arctic Pacific Lakes Provincial Park,2000,"56.1600, -125.6730"
19,Arrow Lakes Provincial Park,1981,"50.4183, -117.9117"
20,Arrowstone Provincial Park,1996,"50.874645, -121.275997"
21,Artlish Caves Provincial Park,1996,"49.977, -126.967"
22,Atlin Provincial Park,1973,"59.5661, -133.7201"
23,Atna River Provincial Park,2008,"58.175, -129.145"
24,Babine Lake Marine Provincial Park,1993,"54.7667, -126.75"
25,Babine Mountains Provincial Park,1984,"55.050, -126.833"
26,Babine River Corridor Provincial Park,1999,"55.283, -127.417"
27,Baeria Rocks Ecological Reserve,1971,"48.829, -123.283"
28,Ballingall Islets Ecological Reserve,1963,"48.900, -123.583"
29,Bamberton Provincial Park,1960,"48.589, -123.515"
30,Banana Island Provincial Park,1996,"50.667, -121.933"
31,Banks Nii _uutiksm Conservancy,2006,"54.683, -129.667"
32,Baynes Island Ecological Reserve,1975,"49.150, -123.600"
33,Bear Creek Provincial Park,1981,"49.888, -119.533"
34,Bear Glacier Provincial Park,2000,"56.050, -129.950"
35,Bear Island Conservancy,2008,"53.100, -128.200"
36,Bearhole Lake Provincial Park and Protected Area ,2001,"55.650, -121.567"
37,Beatton Provincial Park,1934,"56.283, -120.800"
38,Beatton River Provincial Park,2000,"56.350, -120.800"
39,Beaumont Provincial Park,1960,"54.016, -125.667"
40,Beaver Creek Provincial Park,1965,"50.520, -127.367"
41,Beaver Point Provincial Park,1949,"48.800, -123.417"
42,Beaver Valley Provincial Park,2013,"49.600, -116.533"
43,Bechers Prairie Provincial Park,2013,"52.800, -121.283"
44,Bedard Aspen Provincial Park,1996,"49.850, -119.433"
45,Bednesti Lake Ecological Reserve,1978,"53.950, -123.217"
46,Bella Coola Estuary Conservancy,2008,"52.383, -126.750"
47,Bellhouse Provincial Park,1964,"48.872, -123.322"
48,Beresford Island Ecological Reserve,1971,"52.900, -131.383"
49,Big Bar Lake Provincial Park,1969,"51.333, -121.883"
50,Big Basin Provincial Park,2013,"55.600, -128.867"
51,Big Bunsby Marine Provincial Park,1996,"50.200, -127.683"
52,Big Creek Ecological Reserve,1990,"51.083, -123.317"
53,Big Creek Provincial Park,1995,"51.116, -123.283"
54,Big White Mountain Ecological Reserve,1972,"49.737, -118.926"
55,Bijoux Falls Provincial Park,1956,"54.617, -122.583"
56,Birkenhead Lake Provincial Park,1963,"50.583, -122.833"
57,Bishop Bay-Monkey Beach Conservancy,2006,"53.217, -128.833"
58,Bishop Bay-Monkey Beach Corridor Conservancy,2007,"53.217, -128.750"
59,Bishop River Provincial Park,1997,"51.550, -125.967"
60,Blackcomb Glacier Provincial Park,1990,"50.083, -122.950"
61,Blackwater Creek Ecological Reserve,1975,"54.317, -124.817"
62,Blanket Creek Provincial Park,1982,"50.933, -118.117"
63,Bligh Island Marine Provincial Park,1995,"49.633, -126.517"
64,Blue/Dease Rivers Ecological Reserve,1975,"57.633, -130.417"
65,Blue Earth Lake Provincial Park,1996,"50.317, -121.333"
66,Blue River Black Spruce Provincial Park,1996,"52.116, -119.333"
67,Blue River Pine Provincial Park,1996,"52.083, -119.267"
68,Bobtail Mountain Provincial Park,2000,"53.717, -123.083"
69,Bocock Peak Provincial Park,2000,"55.917, -122.517"
70,Bodega Ridge Provincial Park,2001,"48.966, -123.616"
71,Bonaparte Provincial Park,2004,"51.250, -121.250"
72,Boothmans Oxbow Provincial Park,2007,"49.467, -117.283"
73,Border Lake Provincial Park,2001,"56.767, -130.933"
74,Boulder Creek Provincial Park,2000,"51.600, -126.833"
75,Boundary Creek Provincial Park,1956,"49.083, -118.650"
76,Bowen Island Ecological Reserve,1973,"49.367, -123.383"
77,Bowron Lake Provincial Park,1961,"53.050, -121.083"
78,Bowser Ecological Reserve,1996,"50.600, -127.583"
79,Boyle Point Provincial Park and Protected Area,1989,"49.512, -124.709"
80,Brackendale Eagles Provincial Park,1999,"49.782, -123.162"
81,Brandywine Falls Provincial Park,1973,"50.006, -123.119"
82,Brent Mountain Protected Area ,2001,"49.514, -119.264"
83,Bridal Veil Falls Provincial Park,1965,"49.193, -121.681"
84,Bridge Lake Provincial Park,1956,"51.569, -120.859"
85,Bridge River Delta Provincial Park,2010,"50.983, -123.300"
86,Brim River Hot Springs Protected Area ,2005,"55.867, -129.983"
87,Bromley Rock Provincial Park,1956,"49.356, -120.024"
88,Browne Lake Ecological Reserve,1973,"49.923, -119.236"
89,Browne Lake Provincial Park,2004,"49.915, -119.222"
90,Broughton Archipelago Provincial Park,1992,"50.780, -126.785"
91,Broughton Archipelago Conservancy,2009,"50.783, -126.783"
92,Buccaneer Bay Provincial Park,1989,"49.551, -123.967"
93,Buck Hills Road Ecological Reserve,1971,"50.833, -121.500"
94,Buckinghorse River Wayside Provincial Park,1970,"57.433, -122.738"
95,Bugaboo Provincial Park,1969,"50.716, -116.750"
96,Bulkley Junction Provincial Park,1997,"54.683, -126.833"
97,Bull Canyon Provincial Park,1955,"52.000, -123.083"
98,Burdwood Group Conservancy,2009,"50.907, -126.639"
99,Burges James Gadsden Provincial Park,1965,"51.338, -116.574"
100,Burgoyne Bay Provincial Park,2004,"48.807, -123.508"
101,Burnie-Shea Provincial Park,2008,"54.216, -127.700"
102,Burns Lake Provincial Park,2001,"54.216, -125.766"
103,Burnt Bridge Creek Conservancy,2008,"52.502, -127.620"
104,Burnt Cabin Bog Ecological Reserve,2000,"50.608, -126.859"
105,Buse Lake Protected Area ,2000,"50.774, -120.011"
106,Butler Ridge Provincial Park,2000,"56.027, -121.647"
107,Byers/Conroy/Harvey/Sinnett Islands Ecological Reserve,1981,"53.083, -129.267"
108,Caligata Lake Provincial Park,1996,"54.600, -128.150"
109,Call Lake Provincial Park,1999,"54.171, -126.654"
110,Callaghan Conservancy,2008,"50.233, -123.167"
111,Callaghan Lake Provincial Park,1997,"50.216, -123.183"
112,Calvert Island Conservancy,2006,"51.634, -128.121"
113,Campbell Brown (Kalamalka Lake) Ecological Reserve,1977,"50.250, -119.283"
114,Canim Beach Provincial Park,1956,"51.778, -120.907"
115,Canoe Islets Ecological Reserve,1971,"50.607, -126.753"
116,Cape Scott Provincial Park,1973,"50.766, -128.300"
117,Cardiff Mountain Ecological Reserve,1974,"52.133, -121.717"
118,Cariboo Mountains Provincial Park,1995,"52.633, -120.817"
119,Cariboo Nature Provincial Park,1965,"52.933, -123.250"
120,Cariboo River Provincial Park,1984,"52.967, -120.967"
121,Carmanah Walbran Provincial Park,1991,"48.651, -124.670"
122,Carp Lake Provincial Park,1973,"54.600, -123.483"
123,Carter Bay Conservancy,2007,"51.433, -127.950"
124,Cascade-Sutslem Conservancy,2006,"49.225, -121.240"
125,Castle Rock Hoodoos Provincial Park,1997,"51.416, -121.438"
126,Catala Island Marine Provincial Park,1995,"49.916, -127.733"
127,Cathedral Provincial Park and Protected Area,1968,"49.116, -120.257"
128,Catherine Creek Ecological Reserve,2000,"50.783, -120.083"
129,Catto Creek Conservancy,2008,"52.550, -128.650"
130,Cecil Lake Ecological Reserve,1973,"56.400, -120.233"
131,Cedar Point Provincial Park,1962,"52.433, -122.433"
132,Cetan/Thurston Bay Conservancy,2007,"50.482, -126.357"
133,Champion Lakes Provincial Park,1955,"49.166, -117.533"
134,Charlie Cole Creek Ecological Reserve,1981,"50.533, -120.600"
135,Charlie Lake Provincial Park,1964,"56.289, -120.857"
136,Chase Provincial Park,2001,"50.820, -119.688"
137,Chasm Ecological Reserve,1975,"51.333, -121.533"
138,Chasm Provincial Park,1940,"51.366, -121.533"
139,Checleset Bay Ecological Reserve,1981,"50.150, -127.533"
140,Chemainus River Provincial Park,1959,"48.833, -123.767"
141,Chickens Neck Mountain Ecological Reserve,1975,"50.283, -121.017"
142,Chilako River Ecological Reserve,1977,"53.783, -123.183"
143,Chilliwack River Ecological Reserve,1980,"49.0660, -121.8500"
144,Chilliwack River Provincial Park,1961,"49.1100, -121.9500"
145,Choquette Hot Springs Provincial Park,2001,"56.9333, -131.8333"
146,Christina Lake Provincial Park,1971,"49.0400, -118.2100"
147,Chu Chua Cottonwood Provincial Park,1996,"51.0667, -120.1667"
148,Chukachida River Protected Area ,2001,"56.6344, -129.2097"
149,Chunamon Creek Ecological Reserve,1981,"53.8000, -128.9000"
150,Churn Creek Protected Area ,1995,"51.0000, -122.4000"
151,Cinema Bog Ecological Reserve,1977,"54.4000, -122.6000"
152,Cinnemousun Narrows Provincial Park,1956,"50.9500, -119.1000"
153,Clanninick Creek Ecological Reserve,1976,"50.8333, -126.9167"
154,Claud Elliott Creek Ecological Reserve,1989,"50.4667, -126.7167"
155,Claud Elliott Provincial Park,1995,"50.4500, -126.7000"
156,Clayhurst Ecological Reserve,1971,"56.8667, -120.7167"
157,Clayoquot Arm Provincial ParkÊ ,1995,"49.2550, -125.5786"
158,Clayoquot Plateau Provincial ParkÊ ,1995,"49.2875, -125.8125"
159,Clayton Falls Conservancy,2008,"52.3667, -126.5833"
160,Cleland Island Ecological Reserve  ,1971,"49.1583, -126.0056"
161,Clendinning Provincial Park,1996,"50.4000, -123.4667"
162,Close To The Edge Provincial Park and Protected Area,2000,"53.4333, -124.1333"
163,Clyak Estuary Conservancy,2007,"52.2700, -127.8800"
164,Codville Lagoon Conservancy,2008,"52.2450, -128.1330"
165,Codville Lagoon Marine Provincial Park,1992,"52.2550, -128.1167"
166,Cody Caves Provincial Park,1966,"49.6833, -116.9333"
167,Coldwater River Provincial Park,1986,"49.7667, -120.9333"
168,Collinson Point Provincial Park,2004,"48.8250, -123.4306"
169,Columbia Lake Ecological Reserve,1971,"50.2333, -115.8000"
170,Columbia Lake Provincial Park,1988,"50.2000, -115.8000"
171,Comox Lake Bluffs Ecological Reserve,1996,"49.5981, -125.1042"
172,Conkle Lake Provincial Park,1973,"49.2044, -119.0278"
173,Copeland Islands Marine Provincial Park,1971,"50.0167, -124.8333"
174,Copper Johnny Provincial Park,2013,"57.0000, -130.0000"
175,Coquihalla Canyon Provincial Park,1986,"49.3667, -121.4333"
176,Coquihalla River Provincial Park,1986,"49.5000, -121.3333"
177,Coquihalla Summit Recreation Area,1987,"49.5500, -121.0000"
178,Cormorant Channel Marine Provincial Park,1992,"50.6639, -126.8072"
179,Cornwall Hills Provincial Park,2004,"50.6000, -120.7167"
180,Coste Rocks Provincial Park,2004,"50.2167, -125.3167"
181,Cottonwood River Provincial Park,1956,"53.9667, -122.4500"
182,Cougar Canyon Ecological Reserve,1981,"50.2156, -119.3514"
183,Cowichan River Provincial Park,1995,"48.7500, -123.6167"
184,Crab Lake Conservancy,2006,"51.0333, -121.7500"
185,Craig Headwaters Protected Area ,2001,"57.0783, -127.6636"
186,Cranstown Point Conservancy,2007,"52.4750, -128.5633"
187,Crater Lake Provincial Park,2013,"49.0167, -125.4000"
188,Crooked River Provincial Park,1965,"54.5833, -123.0833"
189,Crowsnest Provincial Park,1960,"49.6500, -114.6167"
190,Cultus Lake Provincial Park,1948,"49.0333, -122.0167"
191,Cummins Lakes Provincial Park and Protected Area,1995,"51.9500, -117.2000"
192,Cypress Provincial Park,1975,"49.3981, -123.2033"
193,Daawuuxusda Conservancy,2008,"54.0833, -133.0333"
194,Dahl Lake Provincial Park,1981,"53.9000, -123.4000"
195,Dala-Kildala Rivers Estuaries Provincial Park,2004,"53.0167, -128.1333"
196,Dall River Old Growth Provincial Park,1999,"58.1667, -130.1667"
197,Damaxyaa Conservancy,2008,"53.8667, -129.9167"
198,Damdochax Protected Area ,2001,"56.7167, -129.9500"
199,Dantes Inferno Provincial Park,2013,"57.3500, -130.8000"
200,Darke Lake Provincial Park,1968,"49.9000, -119.8667"
201,Davis Lake Provincial Park,1963,"49.2833, -122.3533"
202,Dawley Passage Provincial ParkÊ ,1995,"50.6500, -127.3667"
203,Dead Mans Island Provincial Park,1933,"48.6667, -123.4667"
204,Dean River Conservancy,2008,"52.4167, -126.9500"
205,Dean River Corridor Conservancy,2008,"52.4667, -126.8333"
206,Denetiah Provincial Park and Protected Area,1999,"57.5000, -126.9167"
207,Denison-Bonneau Provincial Park,2008,"57.7833, -130.9000"
208,Denman Island Park and Protected Area,2013,"49.5333, -124.8167"
209,Desolation Sound Marine Provincial Park,1973,"50.1500, -124.8000"
210,Det San Ecological Reserve,2009,"53.0000, -129.1667"
211,Dewdney and Glide Islands Ecological Reserve,1971,"53.0500, -129.2833"
212,Diana Lake Provincial Park,1980,"54.2833, -130.3167"
213,Dionisio Point Provincial Park,1991,"48.9333, -123.5833"
214,Discovery Island Marine Provincial Park,1972,"48.4167, -123.2667"
215,Dixie Cove Marine Provincial Park,1996,"50.3833, -127.8333"
216,Doc English Bluff Ecological Reserve,1981,"52.0500, -122.2833"
217,Donnely Lake Provincial Park,2013,"55.2500, -124.4833"
218,Downing Provincial Park,1970,"51.2167, -121.3167"
219,Dragon Mountain Provincial Park,2013,"52.9333, -122.4000"
220,Drewry Point Provincial Park,1970,"49.8333, -119.6667"
221,Driftwood Canyon Provincial Park,1967,"54.4500, -127.6000"
222,Drizzle Lake Ecological Reserve,1973,"53.8167, -131.8500"
223,Drumbeg Provincial Park,1971,"49.1333, -123.7333"
224,Dry Gulch Provincial Park,1956,"50.6000, -115.9922"
225,Drywilliam Lake Ecological Reserve,1975,"53.0667, -122.0167"
226,Duck Lake Protected Area ,2001,"53.2500, -122.5667"
227,Duffey Lake Provincial Park,1993,"50.4694, -122.3231"
228,Duke of Edinburgh Ecological Reserve,1988,"52.7833, -127.4833"
229,Dune Za Keyih Provincial Park and Protected Area,2001,"57.7069, -127.6636"
230,Dunn Peak Protected Area,1996,"51.5469, -120.0222"
231,Duu Guusd Heritage Site/Conservancy,2008,"53.3833, -132.6667"
232,Dzawadi/Klinaklini Estuary Conservancy,2007,"51.1667, -126.3833"
233,Dzawadi/Upper Klinaklini River Conservancy,2008,"51.3000, -126.1167"
234,Eagle Bay Provincial Park,2004,"54.2167, -122.7500"
235,Eagle River Provincial Park,2008,"50.9667, -119.1667"
236,Eakin Creek Canyon Provincial Park,1996,"51.2083, -120.3694"
237,Eakin Creek Floodplain Provincial Park,1996,"51.2000, -120.3667"
238,East Pine Provincial Park,1982,"55.7000, -121.0000"
239,East Redonda Island Ecological Reserve,1971,"50.1500, -124.6333"
240,E. C. Manning Provincial Park,1941,"49.0697, -120.7833"
241,Echo Bay Marine Provincial Park,1971,"50.7500, -126.5000"
242,Echo Lake Provincial Park,1956,"50.6167, -118.9500"
243,Ecstall Headwaters Conservancy,2008,"53.6500, -129.6000"
244,Ecstall-Sparkling Conservancy,2008,"53.6333, -129.6500"
245,Ecstall-Spokskuut Conservancy,2008,"53.6167, -129.6667"
246,Ed Bird-Estella Provincial Park,2001,"54.3667, -124.0000"
247,Edge Hills Provincial Park,1995,"51.0000, -121.5000"
248,Ekwan Lake Protected Area ,2001,"58.5000, -124.5000"
249,Elephant Hills Provincial Park,1996,"50.9500, -121.2667"
250,Eleven Sisters Provincial Park,2013,"52.5000, -128.0000"
251,Elk Falls Provincial Park,1940,"50.0239, -125.3167"
252,Elk Lakes Provincial Park,1973,"50.6167, -115.0833"
253,Elk Valley Provincial Park,1960,"49.8667, -114.8333"
254,Ellerslie-Roscoe Conservancy,2008,"54.2500, -128.5000"
255,Ellis Island Ecological Reserve,1991,"49.2500, -123.6667"
256,Ellison Provincial Park,1962,"50.2606, -119.3442"
257,Emar Lakes Provincial Park,1996,"54.0000, -122.6667"
258,Emily Lake Conservancy,2007,"54.1000, -128.6167"
259,Elko Provincial Park,1958,"49.4000, -115.0833"
260,Emory Creek Provincial Park,1956,"49.3667, -121.4500"
261,Enderby Cliffs Provincial Park,2006,"50.5333, -119.0167"
262,Eneas Lakes Provincial Park,1968,"49.7667, -119.7667"
263,English Lake Provincial Park,2004,"55.4667, -124.5667"
264,Englishman River Falls Provincial ParkÊ ,1940,"49.3167, -124.3167"
265,Entiako Provincial Park,1999,"53.7000, -125.3500"
266,Epper Passage Provincial ParkÊ ,1995,"52.5000, -128.5000"
267,Epsom Provincial Park,1997,"50.6667, -121.7667"
268,Erg Mountain Provincial Park,2000,"54.6667, -121.6833"
269,Erie Creek Provincial Park,1965,"49.2333, -117.2333"
270,Eskers Provincial Park,1987,"54.0500, -123.2667"
271,Sigurd Creek Conservancy,2008,"50.0833, -123.3167"
272,Ethelda Bay-Tennant Island Conservancy,2007,"50.9333, -127.9500"
273,Ethel F. Wilson Memorial Provincial Park,1953,"54.1333, -125.5833"
274,Europa Lake Conservancy,2008,"54.5667, -127.2000"
275,Evanoff Provincial Park,2000,"54.5667, -121.0000"
276,Evans Lake Ecological Reserve,1972,"49.8167, -123.1667"
277,Eves Provincial Park,1962,"50.3833, -125.8333"
278,Exchamsiks River Provincial Park,1956,"54.2500, -128.8667"
279,Ferry Island Provincial Park,1963,"54.5333, -128.6667"
280,F.H. Barber Provincial Park,1978,"54.4833, -126.6000"
281,Fields Lease Ecological Reserve,1972,"54.4000, -128.7000"
282,Fillongley Provincial Park,1954,"49.5167, -124.7667"
283,Finger-Tatuk Provincial Park,1999,"53.3833, -124.3167"
284,Finlay-Russel Provincial Park and Protected Area,2001,"56.9167, -125.7500"
285,Finn Creek Provincial Park,1996,"51.5667, -119.3167"
286,Fintry Provincial Park and Protected Area,1996,"50.1333, -119.4500"
287,Fiordland Conservancy,2006,"52.8500, -128.4000"
288,Flat Lake Provincial Park,1995,"51.7500, -121.6667"
289,Flores Island Provincial ParkÊ ,1995,"49.3667, -126.0000"
290,Foch-Gilttoyees Provincial Park,2004,"53.6333, -129.6500"
291,Fort George Canyon Provincial Park,2000,"53.8333, -122.9333"
292,Fort Nelson River Ecological Reserve,1975,"58.6667, -122.7500"
293,Forward Harbour,2007,"50.5500, -126.5000"
294,Fossli Provincial Park,1974,"50.1500, -125.3667"
295,Foster Arm Protected Area ,2001,"54.5000, -128.6667"
296,Francis Point Ecological Reserve,2004,"49.6167, -123.9500"
297,Francis Point Provincial Park,2004,"49.6167, -123.9500"
298,Fraser River Ecological Reserve,1977,"49.4167, -121.5000"
299,Fraser River Provincial Park,2000,"49.5000, -121.4000"
300,Fraser River Breaks Provincial Park,2013,"54.7500, -124.6667"
301,Fred Antoine Provincial Park,2010,"50.3667, -120.1667"
302,French Bar Creek Provincial Park,2010,"50.7833, -121.7000"
303,French Beach Provincial Park,1974,"48.3847, -123.9611"
304,Gabriola Sands Provincial Park,1960,"49.1667, -123.8667"
305,Galiano Island Ecological Reserve,1990,"48.9167, -123.5500"
306,Gamble Creek Ecological Reserve,1991,"49.3167, -123.9500"
307,Garden Bay Marine Provincial Park,1969,"49.6267, -124.0278"
308,Garibaldi Provincial Park,1927,"49.9586, -123.1208"
309,Gerald Island Provincial Park  ,2013,"49.7833, -124.5000"
310,Gibson Marine Provincial ParkÊ ,1967,"49.4833, -123.5167"
311,Gilnockie Creek Ecological Reserve,1981,"49.4000, -115.2500"
312,Gilnockie Provincial Park,1995,"49.4167, -115.2500"
313,Gilpin Grasslands Provincial Park,2007,"49.0833, -118.3667"
314,Gingietl Creek Ecological Reserve,1985,"54.8000, -129.0000"
315,Giscome Portage Trail Protected Area ,2001,"53.9167, -122.6667"
316,Gitnadoiks River Provincial Park,1986,"54.3167, -129.5000"
317,Gitxaala Nii Luutiksm/Kitkatla Conservancy,2006,"53.5833, -130.6667"
318,Gladstone Provincial Park,1995,"49.0833, -118.2500"
319,Gladys Lake Ecological Reserve,1975,"59.3167, -134.3167"
320,Goat Cove Conservancy,2007,"52.0833, -127.7500"
321,Goat Range Provincial Park,1995,"50.1167, -117.1000"
322,Gods Pocket Marine Provincial Park,1995,"50.8000, -127.6167"
323,Goguka Creek Protected Area ,2001,"52.8167, -128.5667"
324,Gold Muchalat Provincial Park,1996,"49.8833, -126.0500"
325,Golden Ears Provincial Park,1967,"49.3667, -122.5667"
326,Golden Gate,2012,"53.9000, -132.4167"
327,Goldpan Provincial Park,1956,"50.6667, -121.1667"
328,Goldstream Provincial Park,1958,"48.4667, -123.5500"
329,Goose Bay Conservancy,2007,"52.7667, -128.6167"
330,Goosegrass Creek Ecological Reserve,1974,"51.5833, -128.0667"
331,Gordon Bay Provincial Park,1969,"48.8667, -124.1167"
