station_id,avg_summer_temperature,avg_winter_ temperature,avg_summer_ precipitation ,avg_winter_precipitation,coordinates
A1B2C3D4E5,20,5,10,100,50.9833 -119.7333
F6G7H8I9J0,25,4,5,200,49.0548 -114.1337
K1L2M3N4O5,35,1,6,340,49.7744 -121.4222
P6Q7R8S9T0,16,2,25,450,54.0167 -122.0667
U1V2W3X4Y5,22,3,30,560,49.7683 -123.1336
Z6A7B8C9D0,26,10,70,500,51.1314 -127.4342
E1F2G3H4I5,29,14,23,450,49.7094 -120.7969
J6K7L8M9N0,30,10,80,160,53.7433 -128.9333
O1P2Q3R4S5,34,7,100,356,50.4000 -126.8500
T6U7V8W9X0,32,6,34,234,49.0125 -119.3194
Y1Z2A3B4C5,19,2,56,345,53.8886 -121.8375
D6E7F8G9H0,23,3,78,554,49.6211 -124.0250
I1J2K3L4M5,29,2,30,532,55.5333 -127.6833
N6O7P8Q9R0,26,4,200,532,55.1386 -129.1303
S1T2U3V4W5,35,3,34,332,49.6833 -126.6000
X6Y7Z8A9B0,30,2,50,343,50.9833 -119.0828
C1D2E3F4G5,32,7,78,234,49.3833 -123.3167
H6I7J8K9L0,19,5,90,234,49.2439 -124.7939
M1N2O3P4Q5,23,4,100,124,56.1600 -125.6730
R6S7T8U9V0,34,6,101,455,50.4183 -117.9117
W1X2Y3Z4A5,34,7,107,332,50.874645 -121.275997
B6C7D8E9F0,35,8,89,451,49.977 -126.967
G1H2I3J4K5,23,5,67,123,59.5661 -133.7201
L6M7N8O9P0,36,4,83,321,58.175 -129.145
Q1R2S3T4U5,34,2,23,213,54.7667 -126.75
V6W7X8Y9Z0,19,3,45,123,55.050 -126.833
A1B2C3D4E6,20,5,23,234,55.283 -127.417
F7G8H9I0J1,25,4,80,100,48.829 -123.283
K2L3M4N5O6,35,1,100,200,48.900 -123.583
P7Q8R9S0T1,16,2,34,340,48.589 -123.515
U2V3W4X5Y6,22,3,56,450,50.667 -121.933
Z7A8B9C0D1,26,10,78,560,54.683 -129.667
E2F3G4H5I6,29,14,30,500,49.150 -123.600
J7K8L9M0N1,30,10,200,450,49.888 -119.533
O2P3Q4R5S6,34,7,34,160,56.050 -129.950
T7U8V9W0X1,32,6,50,356,53.100 -128.200
Y2Z3A4B5C6,19,2,78,234,55.650 -121.567
